LGA Name,,Low income,Moderate income,Total,Tenure type,Very low income
Adelaide,C,110,199,393,Being purchased (incl rent/buy),79
Adelaide,C,171,174,174,Rented: Public,157
Adelaide,C,1177,1468,1568,Rented: Private and not stated,919
Adelaide,C,268,283,286,Rented: Other landlord,248
Adelaide,C,1616,1925,2028,Rented: TOTAL,1324
Adelaide,C,0,0,0,Other tenure types,0
Adelaide,C,1726,2124,2421,Total households,1403
Adelaide Hills,DC,346,654,1295,Being purchased (incl rent/buy),178
Adelaide Hills,DC,18,18,18,Rented: Public,14
Adelaide Hills,DC,317,416,426,Rented: Private and not stated,202
Adelaide Hills,DC,29,32,35,Rented: Other landlord,23
Adelaide Hills,DC,364,466,479,Rented: TOTAL,239
Adelaide Hills,DC,0,0,0,Other tenure types,0
Adelaide Hills,DC,710,1120,1774,Total households,417
Alexandrina,DC,353,639,893,Being purchased (incl rent/buy),202
Alexandrina,DC,42,42,42,Rented: Public,36
Alexandrina,DC,639,691,691,Rented: Private and not stated,407
Alexandrina,DC,47,47,47,Rented: Other landlord,39
Alexandrina,DC,728,780,780,Rented: TOTAL,482
Alexandrina,DC,0,0,0,Other tenure types,0
Alexandrina,DC,1081,1419,1673,Total households,684
Anangu Pitjantjatjara,AC,0,0,0,Being purchased (incl rent/buy),0
Anangu Pitjantjatjara,AC,3,3,3,Rented: Public,0
Anangu Pitjantjatjara,AC,0,0,0,Rented: Private and not stated,0
Anangu Pitjantjatjara,AC,0,0,0,Rented: Other landlord,0
Anangu Pitjantjatjara,AC,3,3,3,Rented: TOTAL,0
Anangu Pitjantjatjara,AC,0,0,0,Other tenure types,0
Anangu Pitjantjatjara,AC,3,3,3,Total households,0
Barossa,DC,252,469,688,Being purchased (incl rent/buy),127
Barossa,DC,34,34,34,Rented: Public,30
Barossa,DC,339,371,371,Rented: Private and not stated,234
Barossa,DC,56,59,59,Rented: Other landlord,52
Barossa,DC,429,464,464,Rented: TOTAL,316
Barossa,DC,0,0,0,Other tenure types,0
Barossa,DC,681,933,1152,Total households,443
Barunga West,DC,20,32,36,Being purchased (incl rent/buy),15
Barunga West,DC,0,0,0,Rented: Public,0
Barunga West,DC,54,54,54,Rented: Private and not stated,46
Barunga West,DC,0,0,0,Rented: Other landlord,0
Barunga West,DC,54,54,54,Rented: TOTAL,46
Barunga West,DC,0,0,0,Other tenure types,0
Barunga West,DC,74,86,90,Total households,61
Berri and Barmera,DC,151,205,251,Being purchased (incl rent/buy),84
Berri and Barmera,DC,54,54,54,Rented: Public,47
Berri and Barmera,DC,239,246,249,Rented: Private and not stated,201
Berri and Barmera,DC,16,16,16,Rented: Other landlord,16
Berri and Barmera,DC,309,316,319,Rented: TOTAL,264
Berri and Barmera,DC,0,0,0,Other tenure types,0
Berri and Barmera,DC,460,521,570,Total households,348
Burnside,C,243,482,1239,Being purchased (incl rent/buy),154
Burnside,C,42,45,45,Rented: Public,42
Burnside,C,890,1120,1197,Rented: Private and not stated,568
Burnside,C,29,32,35,Rented: Other landlord,22
Burnside,C,961,1197,1277,Rented: TOTAL,632
Burnside,C,0,0,0,Other tenure types,0
Burnside,C,1204,1679,2516,Total households,786
Campbelltown (C),SA,377,699,1265,Being purchased (incl rent/buy),202
Campbelltown (C),SA,203,203,208,Rented: Public,184
Campbelltown (C),SA,1070,1343,1368,Rented: Private and not stated,633
Campbelltown (C),SA,122,134,137,Rented: Other landlord,99
Campbelltown (C),SA,1395,1680,1713,Rented: TOTAL,916
Campbelltown (C),SA,0,0,0,Other tenure types,0
Campbelltown (C),SA,1772,2379,2978,Total households,1118
Ceduna,DC,15,32,48,Being purchased (incl rent/buy),8
Ceduna,DC,21,21,21,Rented: Public,18
Ceduna,DC,35,43,43,Rented: Private and not stated,23
Ceduna,DC,10,10,10,Rented: Other landlord,10
Ceduna,DC,66,74,74,Rented: TOTAL,51
Ceduna,DC,0,0,0,Other tenure types,0
Ceduna,DC,81,106,122,Total households,59
Charles Sturt,C,877,1777,3159,Being purchased (incl rent/buy),430
Charles Sturt,C,841,860,860,Rented: Public,752
Charles Sturt,C,2207,2782,2849,Rented: Private and not stated,1331
Charles Sturt,C,290,319,322,Rented: Other landlord,217
Charles Sturt,C,3338,3961,4031,Rented: TOTAL,2300
Charles Sturt,C,0,0,0,Other tenure types,0
Charles Sturt,C,4215,5738,7190,Total households,2730
Clare and Gilbert Valleys,DC,112,179,238,Being purchased (incl rent/buy),51
Clare and Gilbert Valleys,DC,23,23,23,Rented: Public,20
Clare and Gilbert Valleys,DC,139,149,153,Rented: Private and not stated,103
Clare and Gilbert Valleys,DC,15,15,15,Rented: Other landlord,12
Clare and Gilbert Valleys,DC,177,187,191,Rented: TOTAL,135
Clare and Gilbert Valleys,DC,0,0,0,Other tenure types,0
Clare and Gilbert Valleys,DC,289,366,429,Total households,186
Cleve,DC,16,25,28,Being purchased (incl rent/buy),10
Cleve,DC,3,3,3,Rented: Public,3
Cleve,DC,16,16,16,Rented: Private and not stated,13
Cleve,DC,0,0,0,Rented: Other landlord,0
Cleve,DC,19,19,19,Rented: TOTAL,16
Cleve,DC,0,0,0,Other tenure types,0
Cleve,DC,35,44,47,Total households,26
Coober Pedy,DC,20,26,26,Being purchased (incl rent/buy),16
Coober Pedy,DC,3,3,3,Rented: Public,3
Coober Pedy,DC,18,18,18,Rented: Private and not stated,18
Coober Pedy,DC,0,0,0,Rented: Other landlord,0
Coober Pedy,DC,21,21,21,Rented: TOTAL,21
Coober Pedy,DC,0,0,0,Other tenure types,0
Coober Pedy,DC,41,47,47,Total households,37
Copper Coast,DC,199,302,359,Being purchased (incl rent/buy),113
Copper Coast,DC,43,43,43,Rented: Public,40
Copper Coast,DC,375,383,383,Rented: Private and not stated,251
Copper Coast,DC,30,30,30,Rented: Other landlord,27
