LGA Name,,Tenure type,"Very low income
<50% median income","Low income
<80% median income","Moderate income
<120% median income",Total
Adelaide,C,Being purchased (incl rent/buy),74,90,124,167
Adelaide,C,Rented: Public,76,80,80,80
Adelaide,C,Rented: Private and not stated,856,983,1007,1016
Adelaide,C,Rented: Other landlord,180,184,187,187
Adelaide,C,Rented: TOTAL,1112,1247,1274,1283
Adelaide,C,Other tenure types,0,0,0,0
Adelaide,C,Total households,1186,1337,1398,1450
Adelaide Hills,DC,Being purchased (incl rent/buy),146,230,311,405
Adelaide Hills,DC,Rented: Public,9,9,9,9
Adelaide Hills,DC,Rented: Private and not stated,137,164,169,169
Adelaide Hills,DC,Rented: Other landlord,10,10,10,13
Adelaide Hills,DC,Rented: TOTAL,156,183,188,191
Adelaide Hills,DC,Other tenure types,0,0,0,0
Adelaide Hills,DC,Total households,302,413,499,596
Alexandrina,DC,Being purchased (incl rent/buy),135,182,241,275
Alexandrina,DC,Rented: Public,10,10,10,10
Alexandrina,DC,Rented: Private and not stated,213,232,235,235
Alexandrina,DC,Rented: Other landlord,18,18,18,18
Alexandrina,DC,Rented: TOTAL,241,260,263,263
Alexandrina,DC,Other tenure types,0,0,0,0
Alexandrina,DC,Total households,376,442,504,538
Anangu Pitjantjatjara,AC,Being purchased (incl rent/buy),0,0,0,0
Anangu Pitjantjatjara,AC,Rented: Public,0,0,0,0
Anangu Pitjantjatjara,AC,Rented: Private and not stated,0,0,0,0
Anangu Pitjantjatjara,AC,Rented: Other landlord,0,0,0,0
Anangu Pitjantjatjara,AC,Rented: TOTAL,0,0,0,0
Anangu Pitjantjatjara,AC,Other tenure types,0,0,0,0
Anangu Pitjantjatjara,AC,Total households,0,0,0,0
Barossa,DC,Being purchased (incl rent/buy),102,155,193,212
Barossa,DC,Rented: Public,10,10,10,10
Barossa,DC,Rented: Private and not stated,130,136,139,139
Barossa,DC,Rented: Other landlord,15,15,15,15
Barossa,DC,Rented: TOTAL,155,161,164,164
Barossa,DC,Other tenure types,0,0,0,0
Barossa,DC,Total households,257,316,357,376
Barunga West,DC,Being purchased (incl rent/buy),4,4,7,7
Barunga West,DC,Rented: Public,0,0,0,0
Barunga West,DC,Rented: Private and not stated,20,20,20,20
Barunga West,DC,Rented: Other landlord,0,0,0,0
Barunga West,DC,Rented: TOTAL,20,20,20,20
Barunga West,DC,Other tenure types,0,0,0,0
Barunga West,DC,Total households,24,24,27,27
Berri and Barmera,DC,Being purchased (incl rent/buy),53,75,83,91
Berri and Barmera,DC,Rented: Public,14,17,17,17
Berri and Barmera,DC,Rented: Private and not stated,71,71,74,74
Berri and Barmera,DC,Rented: Other landlord,10,10,10,10
Berri and Barmera,DC,Rented: TOTAL,95,98,101,101
Berri and Barmera,DC,Other tenure types,0,0,0,0
Berri and Barmera,DC,Total households,148,173,184,192
Burnside,C,Being purchased (incl rent/buy),130,177,266,408
Burnside,C,Rented: Public,17,17,17,17
Burnside,C,Rented: Private and not stated,449,545,571,574
Burnside,C,Rented: Other landlord,16,16,16,16
Burnside,C,Rented: TOTAL,482,578,604,607
Burnside,C,Other tenure types,0,0,0,0
Burnside,C,Total households,612,755,870,1015
Campbelltown (C),SA,Being purchased (incl rent/buy),156,232,334,414
Campbelltown (C),SA,Rented: Public,57,60,60,60
Campbelltown (C),SA,Rented: Private and not stated,500,584,600,605
Campbelltown (C),SA,Rented: Other landlord,51,54,54,57
Campbelltown (C),SA,Rented: TOTAL,608,698,714,722
Campbelltown (C),SA,Other tenure types,0,0,0,0
Campbelltown (C),SA,Total households,764,930,1048,1136
Ceduna,DC,Being purchased (incl rent/buy),3,7,10,17
Ceduna,DC,Rented: Public,7,7,7,7
Ceduna,DC,Rented: Private and not stated,13,13,13,13
Ceduna,DC,Rented: Other landlord,3,3,3,3
Ceduna,DC,Rented: TOTAL,23,23,23,23
Ceduna,DC,Other tenure types,0,0,0,0
Ceduna,DC,Total households,26,30,33,40
Charles Sturt,C,Being purchased (incl rent/buy),334,551,784,955
Charles Sturt,C,Rented: Public,273,280,280,280
Charles Sturt,C,Rented: Private and not stated,936,1090,1118,1126
Charles Sturt,C,Rented: Other landlord,129,143,146,146
Charles Sturt,C,Rented: TOTAL,1338,1513,1544,1552
Charles Sturt,C,Other tenure types,0,0,0,0
Charles Sturt,C,Total households,1672,2064,2328,2507
Clare and Gilbert Valleys,DC,Being purchased (incl rent/buy),33,54,65,71
Clare and Gilbert Valleys,DC,Rented: Public,7,7,7,7
Clare and Gilbert Valleys,DC,Rented: Private and not stated,51,54,57,61
Clare and Gilbert Valleys,DC,Rented: Other landlord,5,5,5,5
Clare and Gilbert Valleys,DC,Rented: TOTAL,63,66,69,73
Clare and Gilbert Valleys,DC,Other tenure types,0,0,0,0
Clare and Gilbert Valleys,DC,Total households,96,120,134,144
Cleve,DC,Being purchased (incl rent/buy),7,10,13,13
Cleve,DC,Rented: Public,0,0,0,0
Cleve,DC,Rented: Private and not stated,7,7,7,7
Cleve,DC,Rented: Other landlord,0,0,0,0
Cleve,DC,Rented: TOTAL,7,7,7,7
Cleve,DC,Other tenure types,0,0,0,0
Cleve,DC,Total households,14,17,20,20
Coober Pedy,DC,Being purchased (incl rent/buy),8,12,12,12
Coober Pedy,DC,Rented: Public,3,3,3,3
Coober Pedy,DC,Rented: Private and not stated,12,12,12,12
Coober Pedy,DC,Rented: Other landlord,0,0,0,0
Coober Pedy,DC,Rented: TOTAL,15,15,15,15
Coober Pedy,DC,Other tenure types,0,0,0,0
Coober Pedy,DC,Total households,23,27,27,27
Copper Coast,DC,Being purchased (incl rent/buy),60,83,104,114
Copper Coast,DC,Rented: Public,9,9,9,9
Copper Coast,DC,Rented: Private and not stated,125,129,129,129
Copper Coast,DC,Rented: Other landlord,11,11,11,11
Copper Coast,DC,Rented: TOTAL,145,149,149,149
Copper Coast,DC,Other tenure types,0,0,0,0
Copper Coast,DC,Total households,205,232,253,263
Elliston,DC,Being purchased (incl rent/buy),6,10,13,16
Elliston,DC,Rented: Public,0,0,0,0
Elliston,DC,Rented: Private and not stated,5,5,5,5
Elliston,DC,Rented: Other landlord,0,0,0,0
Elliston,DC,Rented: TOTAL,5,5,5,5
Elliston,DC,Other tenure types,0,0,0,0
Elliston,DC,Total households,11,15,18,21
Flinders Ranges,DC,Being purchased (incl rent/buy),9,12,15,18
Flinders Ranges,DC,Rented: Public,0,0,0,0
Flinders Ranges,DC,Rented: Private and not stated,5,5,5,8
Flinders Ranges,DC,Rented: Other landlord,0,0,0,0
Flinders Ranges,DC,Rented: TOTAL,5,5,5,8
Flinders Ranges,DC,Other tenure types,0,0,0,0
Flinders Ranges,DC,Total households,14,17,20,26
Franklin Harbour,DC,Being purchased (incl rent/buy),11,14,14,14
Franklin Harbour,DC,Rented: Public,0,0,0,0
Franklin Harbour,DC,Rented: Private and not stated,3,6,6,6
Franklin Harbour,DC,Rented: Other landlord,3,3,3,3
Franklin Harbour,DC,Rented: TOTAL,6,9,9,9
Franklin Harbour,DC,Other tenure types,0,0,0,0
Franklin Harbour,DC,Total households,17,23,23,23
Gawler,T,Being purchased (incl rent/buy),94,147,191,203
Gawler,T,Rented: Public,28,28,28,28
Gawler,T,Rented: Private and not stated,221,239,242,242
Gawler,T,Rented: Other landlord,17,17,17,17
Gawler,T,Rented: TOTAL,266,284,287,287
